#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
32	Riley Greene	DET	151	651	583	157	29	4	30	93	92	59	175	5	5	2	.270	.339	.486	.825	.353	127	-0.7	3.7	20.3	-3.8	4.0	80.7
33	Patrick Bailey	SFG	133	525	473	106	22	1	11	54	50	42	136	3	2	1	.225	.290	.343	.633	.280	80	-1.0	24.3	-13.5	34.5	3.9	999.0
34	Byron Buxton	MIN	130	560	504	129	26	4	30	81	84	43	151	9	18	3	.256	.324	.499	.823	.350	125	2.7	0.6	19.1	0.2	3.9	71.0
35	Trea Turner	PHI	149	644	591	162	30	3	18	83	74	41	120	5	29	5	.275	.325	.426	.751	.325	107	4.4	0.4	9.5	7.3	3.9	28.9
36	Willy Adames	SFG	157	679	600	143	30	1	26	81	87	71	168	4	13	4	.238	.320	.421	.741	.322	109	-0.2	1.6	6.7	8.9	3.9	136.1
37	Maikel Garcia	KCR	154	665	598	161	33	4	13	84	70	57	97	1	28	7	.270	.333	.402	.735	.321	103	2.3	8.0	4.3	10.5	3.9	70.0
38	Gabriel Moreno	ARI	115	456	405	111	23	1	11	55	52	43	77	4	4	2	.275	.348	.421	.769	.336	115	-0.3	6.9	7.5	14.9	3.8	181.0
39	Manny Machado	SDP	149	644	585	154	28	0	28	77	89	52	127	2	11	3	.264	.324	.456	.780	.335	119	-0.7	2.6	13.8	2.3	3.8	39.4
40	Ben Rice	NYY	128	546	476	118	22	1	27	73	80	57	114	9	5	2	.248	.337	.469	.805	.347	124	-0.8	11.3	14.9	3.8	3.8	49.4
41	Rafael Devers	SFG	159	686	592	149	30	1	29	90	92	82	166	7	3	1	.251	.347	.456	.802	.347	126	-1.8	8.5	19.1	-4.9	3.8	56.3
42	Jackson Merrill	SDP	146	630	580	154	30	4	24	83	84	41	120	3	7	3	.265	.314	.453	.767	.329	114	0.6	1.7	11.4	3.7	3.7	69.4
43	Masyn Winn	STL	149	644	585	150	31	4	14	76	68	46	117	5	14	4	.256	.313	.392	.706	.308	99	1.3	7.3	0.3	14.2	3.7	281.7
44	Matt Chapman	SFG	156	672	586	137	30	2	24	83	83	74	170	8	11	4	.234	.325	.415	.740	.323	109	-0.6	4.4	6.7	6.8	3.7	169.9
45	Bo Bichette	NYM	152	658	601	168	33	2	21	84	84	46	113	4	7	3	.280	.332	.442	.775	.334	118	-0.4	0.1	13.4	0.5	3.7	102.0
46	Dansby Swanson	CHC	159	686	620	149	27	2	24	78	81	56	173	4	18	4	.241	.306	.407	.713	.310	99	1.9	3.9	1.5	11.2	3.6	157.2
47	Nick Kurtz	ATH	143	616	538	143	28	2	35	88	99	71	175	3	3	1	.267	.353	.523	.876	.372	138	-0.7	-1.5	27.0	-12.8	3.6	17.7
48	Roman Anthony	BOS	146	630	540	142	33	3	19	89	77	81	152	4	8	4	.263	.360	.440	.800	.349	120	-0.7	6.9	14.5	-1.4	3.6	54.3
49	Austin Wells	NYY	117	461	410	96	21	1	18	55	59	42	109	5	5	1	.233	.311	.418	.729	.316	104	-0.4	8.4	1.6	17.1	3.5	245.0
50	Michael Harris II	ATL	133	574	534	149	28	3	21	77	78	29	110	5	19	5	.280	.321	.466	.787	.337	116	1.5	1.0	12.2	3.1	3.5	101.1
