#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
545	Tirso Ornelas	SDP	32	93	85	19	4	0	2	10	9	7	19	1	1	0	.230	.294	.354	.648	.286	81	-0.1	-0.1	-2.2	-1.1	0.0	999.0	2.21	-0.54	2.68
546	A.J. Vukovich	ARI	6	24	22	5	1	0	0	3	3	2	7	0	0	0	.231	.282	.349	.631	.277	74	0.0	0.0	-0.8	-0.2	0.0	999.0	2.20	-0.04	2.34
547	Ji Hwan Bae	NYM	10	25	23	5	1	0	0	3	2	2	7	0	2	0	.231	.301	.319	.620	.277	75	0.1	-0.1	-0.7	-0.4	0.0	999.0	1.65	-2.75	2.27
548	Nick Sogard	BOS	24	90	80	19	4	0	1	10	8	9	20	0	1	0	.235	.312	.321	.633	.284	76	-0.1	-0.3	-2.6	-0.7	0.0	999.0	4.33	-0.69	2.62
549	Chadwick Tromp	ATL	15	45	42	9	2	0	1	4	4	3	12	0	0	0	.203	.253	.303	.556	.246	54	-0.1	0.0	-2.5	0.8	0.0	999.0	0.69	1.00	2.46
550	Sterlin Thompson	COL	7	26	24	6	1	0	0	3	3	2	6	0	0	0	.249	.306	.369	.675	.297	75	0.0	0.0	-0.8	-0.3	0.0	999.0	2.38	-0.02	2.33
551	James Triantos	CHC	7	22	21	5	1	0	0	3	3	1	4	0	0	0	.253	.296	.320	.617	.274	73	0.0	-0.4	-0.7	-0.3	0.0	999.0	2.82	-0.03	2.29
552	Petey Halpin	CLE	22	55	50	11	2	0	1	6	5	4	16	0	1	0	.214	.273	.324	.597	.264	68	0.0	0.2	-2.1	-0.1	0.0	999.0	1.88	0.39	2.50
553	Trey Lipscomb	WSN	7	23	21	5	1	0	0	2	2	1	5	0	0	0	.230	.274	.309	.583	.257	62	0.0	-0.1	-1.1	0.0	0.0	999.0	2.36	0.09	2.28
554	Tristan Peters	CHW	8	30	27	6	1	0	0	3	3	2	7	0	0	0	.221	.287	.316	.603	.269	70	0.0	0.1	-1.1	-0.2	0.0	999.0	2.15	0.16	2.35
555	Nicky Lopez	COL	11	31	28	7	1	0	0	4	3	3	5	0	0	0	.249	.313	.286	.600	.272	59	0.0	0.0	-1.5	0.2	0.0	999.0	2.36	0.39	2.33
556	Jared Young	NYM	12	37	33	7	1	0	1	5	4	3	10	0	0	0	.225	.300	.344	.644	.286	81	0.0	-0.1	-0.9	-0.7	0.0	999.0	2.89	0.19	2.42
557	Eloy Jiménez	TOR	7	27	25	6	1	0	1	3	3	2	6	0	0	0	.242	.297	.370	.667	.292	86	0.0	0.0	-0.5	-0.8	0.0	999.0	3.22	-0.13	2.32
558	Joey Meneses	ATH	14	40	37	9	2	0	1	4	4	2	8	0	0	0	.247	.295	.375	.670	.291	85	-0.1	-0.1	-0.8	-0.9	0.0	999.0	1.33	0.22	2.38
559	Brock Wilken	MIL	13	48	42	8	2	0	2	5	6	5	16	0	0	0	.196	.289	.343	.632	.282	79	-0.1	-0.9	-1.2	-0.7	0.0	999.0	2.05	0.04	2.53
560	Shay Whitcomb	HOU	9	30	28	6	1	0	1	3	3	2	9	0	0	0	.213	.269	.400	.668	.289	84	0.0	-0.9	-0.6	-0.8	0.0	999.0	2.78	0.21	2.39
561	Justin Dean	CHC	15	25	23	5	1	0	0	3	2	2	8	0	2	0	.204	.274	.254	.527	.242	51	0.1	0.0	-1.4	0.2	0.0	999.0	2.03	0.55	2.31
562	Niko Kavadas	LAA	8	22	20	4	1	0	1	2	2	2	9	0	0	0	.183	.279	.341	.621	.276	74	0.0	0.0	-0.7	-0.4	0.0	999.0	0.73	0.56	2.35
563	Daniel Johnson	MIA	9	21	19	4	1	0	1	2	2	1	5	0	1	0	.214	.262	.347	.609	.266	67	0.0	0.0	-0.8	-0.2	0.0	999.0	0.89	-0.62	2.30
564	Adrian Del Castillo	ARI	60	225	203	47	11	1	7	24	27	18	65	2	1	0	.231	.297	.397	.694	.301	91	-0.4	-1.2	-2.7	-5.2	0.0	999.0	4.37	-0.25	3.51
565	Nick Allen	HOU	36	130	117	26	5	0	1	12	9	9	26	1	3	1	.223	.281	.292	.573	.257	62	0.0	0.1	-5.8	0.9	0.0	999.0	2.64	-0.25	2.78
566	Jose Miranda	SDP	10	40	37	9	2	0	1	3	4	2	8	0	0	0	.230	.277	.341	.618	.271	71	0.0	-0.1	-1.4	-0.4	0.0	999.0	2.75	0.25	2.38
567	Wilmer Flores		18	69	62	14	3	0	2	7	8	5	13	1	0	0	.230	.298	.379	.677	.297	89	-0.3	0.0	-1.2	-1.6	0.0	999.0	4.70	-1.19	2.59
568	Rece Hinds	CIN	8	26	24	5	1	0	1	3	3	1	9	0	0	0	.225	.273	.362	.635	.277	71	0.0	0.0	-0.9	-0.4	0.0	999.0	2.87	0.20	2.36
569	LaMonte Wade Jr.	CHW	28	97	83	18	3	0	2	10	9	12	22	1	0	0	.222	.326	.351	.677	.302	92	-0.3	-0.3	-1.2	-2.5	0.0	999.0	2.94	-0.06	2.75
570	Luke Williams	ATL	14	23	21	4	1	0	0	2	2	1	7	0	1	0	.205	.261	.307	.567	.251	57	0.0	-0.3	-1.1	-0.1	0.0	999.0	1.58	1.08	2.29
571	Zach Dezenzo	HOU	30	115	105	24	5	0	3	13	12	9	35	1	1	0	.228	.290	.372	.663	.290	85	0.0	-0.9	-2.1	-2.4	0.0	999.0	1.92	-0.12	2.87
572	Cavan Biggio	HOU	8	25	22	4	1	0	0	3	3	3	7	0	0	0	.205	.301	.292	.592	.271	72	0.0	-0.6	-0.9	-0.4	0.0	999.0	2.64	-0.07	2.36
573	Austin Barnes		14	46	42	9	1	0	0	5	3	3	11	0	0	0	.208	.272	.267	.539	.245	53	-0.1	-0.5	-2.6	0.6	0.0	999.0	2.76	-0.22	2.46
