#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP
257	Carson Benge	NYM	95	381	344	82	18	1	9	42	39	31	83	4	7	1	.239	.306	.373	.679	.297	93	0.3	0.0	-3.1	-3.6	0.6	999.0
258	Samuel Basallo	BAL	109	427	389	92	18	1	16	48	52	31	102	3	3	1	.236	.296	.406	.702	.303	95	-0.4	-2.5	-3.1	-5.6	0.6	160.9
259	Kyle Karros	COL	67	265	239	63	13	1	5	29	28	21	61	3	2	1	.265	.328	.386	.714	.312	86	-0.3	1.1	-4.8	1.9	0.6	999.0
260	Kody Clemens	MIN	75	287	261	61	12	1	12	35	37	21	72	2	3	1	.232	.292	.430	.721	.310	97	-0.1	0.2	-1.0	-3.0	0.6	700.7
261	Jasson Domínguez	NYY	59	230	206	49	10	1	8	30	24	21	59	2	9	2	.238	.313	.404	.718	.312	101	0.6	-0.4	0.8	-2.9	0.6	421.5
262	Casey Schmitt	SFG	68	265	241	58	12	1	8	29	30	17	61	3	2	1	.240	.296	.395	.692	.300	94	-0.3	-0.4	-2.2	-0.7	0.6	999.0
263	Matt Vierling	DET	83	325	294	72	14	1	8	36	34	25	71	3	4	1	.244	.308	.386	.693	.303	93	-0.2	-1.1	-2.8	-2.6	0.6	999.0
264	Lane Thomas	KCR	95	389	351	82	17	2	12	51	42	31	97	4	17	4	.233	.302	.397	.699	.305	92	1.0	-2.5	-2.8	-4.8	0.6	726.7
265	Chandler Simpson	TBR	109	448	415	118	15	4	0	57	29	23	45	1	37	6	.285	.323	.341	.664	.293	85	4.0	-1.5	-3.8	-5.9	0.6	180.2
266	Jake McCarthy	COL	93	370	335	88	14	4	5	47	31	24	64	6	17	3	.264	.320	.377	.697	.306	82	1.6	3.0	-6.5	-0.1	0.6	506.8
267	Edgar Quero	CHW	109	428	383	97	17	1	8	44	43	35	75	6	1	1	.253	.321	.367	.689	.304	94	-0.8	-3.1	-4.0	-5.1	0.6	475.1
268	Giancarlo Stanton	NYY	96	392	350	76	12	0	24	48	59	37	124	2	0	0	.218	.294	.454	.748	.320	106	-0.5	0.0	2.3	-10.3	0.6	251.5
269	Jake Rogers	DET	55	195	175	36	8	0	6	20	21	16	57	2	1	0	.206	.279	.359	.638	.281	78	-0.2	0.0	-5.4	4.2	0.6	999.0
270	Coby Mayo	BAL	55	211	190	42	8	1	8	24	24	17	61	2	2	1	.222	.293	.398	.692	.301	93	-0.2	-0.4	-1.9	0.1	0.6	459.2
271	Mitch Garver	SEA	30	112	98	20	4	0	4	12	13	12	32	1	0	0	.201	.294	.366	.661	.292	92	-0.1	0.4	-1.2	2.7	0.6	999.0
272	Blaze Alexander	BAL	77	299	267	59	10	2	7	35	26	24	97	5	6	2	.220	.295	.351	.646	.286	83	0.1	-0.2	-5.9	1.0	0.6	745.9
273	Braxton Fulford	COL	52	190	173	42	9	1	5	21	21	12	52	3	3	1	.240	.301	.393	.694	.303	79	-0.1	-0.2	-4.8	3.8	0.5	999.0
