,Name,W,W,SO,SO,SVHLD,SVHLD,WHIP,WHIP,ERA,ERA,ER,ER,BB,BB,H,H,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,SVHLD_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,,,,,
1,Edwin Díaz,5.0,1.0690449676496976,91.0,3.1622776601683795,39.375,0.5175491695067661,1.0775000000000001,0.02659215781283754,3.08,0.32142539680971943,22.5,2.878491668515697,23.0,1.4142135623730951,47.375,3.377974879378809,0.0,6.640783086353596,-6.862925576949487,-2.531691671152331,52.277641611878366,277.42360839384725
2,Pete Fairbanks,3.75,1.3887301496588271,62.875,3.3990544903798514,30.875,0.35355339059327334,1.20625,0.026152028055746856,3.485,0.2469239327635711,23.875,2.6958963523950885,21.75,1.1649647450214342,52.625,3.925648263117099,-0.9001028747788695,-2.09617116176439,-2.055289933362874,-1.6553680942356317,52.48500083357157,263.13938815891305
3,Devin Williams,4.625,1.407885953173359,84.875,3.522884370187915,34.75,0.462910049886275,1.12375,0.03997767233987339,3.07125,0.15384941617420203,21.625,1.4078859531733594,26.75,1.6690459207925605,44.75,2.815771906346717,-0.2663568019517165,4.222392345851121,-3.4081524017121274,-5.3461366344653,48.45703826372053,254.99551589867946
4,Aroldis Chapman,4.25,1.164964745021435,83.0,6.047431568147635,32.75,0.462910049886275,1.1637499999999998,0.027222627143085026,3.00375,0.18345396464196967,19.75,1.7525491637693278,27.125,2.642374473299131,41.875,3.3139316313320135,-0.643796306459214,2.14967294023998,-3.535661694005502,-4.8513533176398305,44.13654446478195,230.57561396933582
5,Josh Hader,4.625,1.407885953173359,85.375,7.13016729917929,32.625,0.5175491695067661,1.07,0.034226138716317016,3.19375,0.13255052944874593,21.875,1.807721533549109,23.125,2.356601669474803,42.5,4.780914437337575,-0.2663568019517165,2.1563308902681317,-5.551312743012377,-5.281004933825426,39.23540254030788,208.8993044666936
6,Carlos Estévez,3.75,0.7071067811865476,56.625,3.5831949031954315,33.375,0.5175491695067661,1.2825,0.05599744892148473,4.28,0.2789777256853516,30.75,3.011881234615431,23.0,1.5118578920369088,59.625,5.0691644845505435,-1.7677669529663687,-3.732702340046422,0.40180401845712144,1.3845191369709464,40.68454021492683,196.1359086261933
7,Emilio Pagán,3.125,0.3535533905932738,70.5,4.690415759823428,30.625,0.5175491695067657,1.1824999999999999,0.036154430670982174,4.0325,0.17094276402184605,29.0,2.138089935299395,22.5,1.6903085094570325,54.125,3.8335921237696335,-5.303300858899106,0.10660035817780525,-2.1435823649188928,0.8116751872706822,35.37103540799073,172.99038371688061
8,Cade Smith,5.25,1.9820624179302295,90.75,1.9086270308410553,33.5,0.7559289460184538,1.06375,0.027222627143085057,2.86875,0.1671130925878808,22.25,1.4880476182856905,22.0,0.9258200997725514,52.625,1.8468119248354136,0.12613124477737828,10.871689263908364,-7.2090764410241865,-6.133570889791157,28.02015997874346,164.44126773321838
9,Jeff Hoffman,4.375,1.3024701806293193,74.75,1.2817398889233105,30.0,0.0,1.16625,0.020658792662827965,3.57,0.28091686619760936,25.125,2.16712449375401,23.375,0.5175491695067658,50.125,1.8850918886280927,-0.47985743496869654,3.705900113626099,-4.538019308780199,-1.1524761912026311,30.0,158.91653817864022
10,Kenley Jansen,3.375,1.0606601717798212,57.625,5.423164600647327,27.25,0.4629100498862753,1.2149999999999999,0.03854496446637731,4.03125,0.10190156314516784,25.875,1.8077215335491092,20.625,1.846811924835414,49.75,3.807886552931954,-1.5320646925708532,-2.281878001365269,-1.1674676737412366,1.3493414208388463,32.25518651770083,157.2801161474704
11,David Bednar,4.625,0.9161253813129042,78.75,2.3145502494313748,34.5,0.9258200997725506,1.12,0.01414213562373086,3.29125,0.11764808297873552,23.5,1.069044967649698,21.5,1.6035674514745464,50.75,1.5811388300841898,-0.4093326171823615,3.7804320740712583,-9.899494936611722,-5.121205418271879,23.958488269426585,138.18424115890542
12,Mason Miller,3.5714285714285716,0.7867957924694431,102.85714285714286,3.7161167647860327,34.57142857142857,1.1338934190276815,0.9671428571428571,0.03498298906339368,2.4257142857142857,0.17849903294389233,17.571428571428573,1.2724180205607034,24.571428571428573,1.5118578920369081,38.714285714285715,2.2146697055682827,-1.815682598006407,8.84179506104263,-8.371415670812123,-8.224334272708147,19.625017835018696,121.74695158164998
13,Daniel Palencia,4.125,1.246423454758225,74.5,5.042675027063654,33.375,0.9161253813129046,1.22375,0.02386719206657662,3.6037500000000002,0.20722227541596838,26.125,1.7268882005337975,27.25,1.3887301496588274,52.75,3.284161123592186,-0.7020086124500347,0.892383501980366,-1.5188213133276056,-1.3994634477295795,22.984026454789596,118.0287919245355
14,Shawn Armstrong,2.875,0.6408699444616557,66.375,3.5431019500674013,19.125,0.35355339059327334,1.2137499999999999,0.027742437837054993,3.83125,0.16030662583222902,28.75,2.314550249431379,21.125,2.100170061141308,60.625,3.7008686239082533,-3.3158053648233494,-1.0231147878573013,-1.6671209744309121,-0.38987783365492445,19.250982117803794,93.97298924442417
15,Raisel Iglesias,4.125,1.1259916264596033,68.75,3.693623849670827,30.75,1.0350983390135313,1.15375,0.03852179346069659,3.6875,0.16263455967290585,26.75,2.1876275473019366,17.25,2.121320343559642,57.375,4.206712323350453,-0.7770928126270502,-0.33842103334680357,-2.7581789541654076,-1.268180640171525,17.806279176880278,91.94224163276446
16,Kevin Ginkel,3.375,1.0606601717798212,59.875,5.166858675387646,23.125,0.6408699444616557,1.28375,0.013024701806293233,3.8112500000000002,0.31538808293456944,25.25,3.2403703492039306,22.25,1.98206241793023,54.0,5.398412465054624,-1.5320646925708532,-1.9596045946119027,1.8234582528810364,-0.2615824898403503,16.86184551699875,79.2556825347703
17,Blake Treinen,4.125,1.3562026818605377,60.75,9.779716618739888,15.0,0.0,1.26375,0.03700868623908254,3.89375,0.18539051447456226,23.875,3.758324094593227,20.75,3.9188190640986282,49.25,7.796519369931321,-0.6451838001084109,-0.9458351770924686,0.10132756336645589,0.0,15.0,73.30765345943267
18,Seranthony Domínguez,3.25,0.8864052604279183,69.375,2.924648941081892,26.75,1.0350983390135313,1.2875,0.026049403612586397,3.89875,0.17520905880037793,26.625,1.4078859531733592,28.75,1.1649647450214355,51.125,2.100170061141308,-1.9742662618621818,-0.21370086208322794,1.055686356931135,0.02853733724862377,13.941912044563095,66.4373694046903
19,Jhoan Duran,5.75,2.434865792722759,80.5,4.840306956027833,33.5,2.0701966780270626,1.10375,0.0324862608321909,2.80875,0.33841806351654125,21.75,2.6049403612586386,21.0,1.5118578920369086,55.25,2.6049403612586395,0.3080251906456502,2.1692839101710106,-4.809725588522351,-3.206093636745153,10.231515790174171,61.65070727695502
20,Dennis Santana,3.875,0.8345229603962802,62.0,1.927248223318863,30.125,1.3562026818605364,1.26,0.06094494002200447,3.875,0.3328234195056421,28.75,2.659215781283755,23.5,2.138089935299395,61.125,3.5632048174962616,-1.3480755514093756,-4.1509961733021665,0.0,-0.056336179791224,13.12949033220618,60.204716116110575
21,Ryan Walker,4.5,1.6903085094570331,66.75,2.187627547301939,30.875,1.5526475085202969,1.21625,0.05289815011618355,3.4875,0.34652355104461746,24.5,2.2677868380553634,20.5,0.7559289460184548,56.125,2.474873734152915,-0.2958039891549808,-1.48562766271997,-0.8270610579747887,-1.1723589890941997,11.951360433176795,59.97479056107801
22,Mark Leiter Jr.,4.25,1.3887301496588271,66.625,5.370222128951997,18.625,0.5175491695067657,1.31875,0.016420805617960957,4.21,0.3479737264301923,29.125,3.870677312453579,24.625,1.9226098333849666,57.875,5.890367439424178,-0.5400617248673217,-0.6284656237597073,3.577778177688174,0.9088329835828673,12.18483261408763,55.26902456054008
23,Ryan Helsley,4.125,1.1259916264596033,72.25,4.131758532565591,30.375,1.9226098333849664,1.19875,0.022951812875799515,3.4387499999999998,0.1988852863910681,24.375,2.1339098923270927,23.125,1.8850918886280932,52.75,2.815771906346717,-0.7770928126270502,0.544562317053624,-2.668634514033629,-2.2877509355082895,9.39153107742614,51.68151034109919
24,Kody Funderburk,3.625,0.5175491695067657,60.625,2.2638462845343534,18.25,0.4629100498862753,1.3362500000000002,0.011877349391654236,3.87125,0.12345473433032622,27.75,0.8864052604279189,26.375,0.7440238091428442,59.625,1.1877349391654202,-2.656752403468064,-4.1411822278067465,6.419782519286512,-0.18225303486375022,12.812964422477231,51.02935799668858
25,Dylan Lee,3.125,0.3535533905932738,73.0,1.8516401995451037,17.375,0.5175491695067657,1.14875,0.03642506985972316,3.56125,0.12100029515902605,25.625,1.1877349391654208,18.5,1.6035674514745464,56.125,2.232071427428534,-5.303300858899106,1.6201851746019644,-3.054215144361719,-2.7479271811941284,9.76960315638939,50.96704242320566
26,Jared Koenig,3.875,0.8345229603962802,65.875,3.270539492412312,15.875,0.35355339059327373,1.22875,0.020310096011589913,3.6075,0.1948442601522705,26.25,1.6690459207925603,22.875,1.125991626459603,58.0,3.116774889895918,-1.3480755514093756,-1.2612598042524927,-1.5386436372416583,-1.4691220556166036,10.058593962378655,50.69140014908967
27,Grant Taylor,4.375,1.407885953173359,97.375,16.431133340617222,20.625,0.9161253813129038,1.1775,0.04334248987508014,3.28625,0.2939843290284122,30.375,5.040904113917888,30.375,6.09302880347697,68.25,10.713809513227043,-0.44392800325286086,1.666044540721357,-1.9034439469854634,-2.066436677110391,9.06671747058932,50.52558451451094
28,Bryan King,3.5,0.5345224838248489,64.75,2.764571782909089,17.625,0.5175491695067657,1.205,0.02878491668515701,3.7,0.13835771443203732,26.875,1.4577379737113252,20.125,2.16712449375401,58.5,2.8784916685156974,-2.806243040080455,-1.8990282807833472,-1.9107229178940364,-1.4003555984958942,10.252649047929038,49.86905243517132
29,Hunter Harvey,3.125,0.8345229603962803,56.25,2.121320343559643,17.625,0.5175491695067657,1.1225,0.05175491695067658,3.2925,0.38473553068494776,19.0,2.7255405754769866,14.875,1.6420805617960925,43.375,2.973093626895344,-2.2467925856822926,-6.481812160876685,-2.6567524034680625,-1.5627618248036246,10.252649047929038,46.7541547213579
30,Andrés Muñoz,4.125,0.8345229603962804,80.5,2.82842712474619,33.25,3.1052950170405937,1.1062500000000002,0.035431019500674024,2.84625,0.1913065976011133,20.0,1.5118578920369088,24.625,1.407885953173359,45.5,2.1380899352993934,-1.0485032066517364,3.7123106012293747,-4.339417893325789,-5.475503788866213,6.7405028781928396,46.181243467733836
31,Gregory Soto,3.0,0.5345224838248488,63.75,2.7124053637210745,17.625,0.5175491695067657,1.3062500000000001,0.02669269563007838,3.76875,0.22712095581744227,25.25,1.8322507626258087,25.125,1.1259916264596033,53.5,2.6186146828319097,-3.7416573867739413,-2.30422785753004,1.7326837514261317,-0.5503675323578413,10.252649047929038,44.03504377627292
32,Kyle Finnegan,3.5,1.0690449676496974,57.75,5.119988839273551,17.375,0.5175491695067657,1.2862500000000001,0.026152028055746953,3.9800000000000004,0.17663521732655693,27.5,1.690308509457033,21.875,1.9594095320493148,57.875,3.3139316313320135,-1.4031215200402283,-2.3925833404234704,1.0037462465260558,0.48829447097486034,9.76960315638939,43.56027020398234
