#	Name	Team	G	PA	AB	H	2B	3B	HR	R	RBI	BB	SO	HBP	SB	CS	AVG	OBP	SLG	OPS	wOBA	wRC+	BsR	Fld	Off	Def	WAR	ADP	Vol	Skew	Dim
28	Pete Crow-Armstrong	CHC	148	619	562	138	28	5	23	84	79	35	150	8	34	8	.246	.297	.436	.733	.314	100	3.0	9.0	3.2	11.3	3.6	29.5	2.58	0.33	3.51
29	Wyatt Langford	TEX	143	613	532	133	28	2	24	84	74	72	144	5	23	5	.250	.343	.447	.790	.342	122	1.3	1.4	16.9	-3.0	3.6	41.8	3.28	0.85	4.23
30	Shea Langeliers	ATH	128	526	478	121	25	1	29	70	76	39	119	4	6	1	.253	.312	.493	.805	.343	120	-0.4	-2.6	12.1	4.6	3.5	54.8	1.67	-0.44	4.05
31	Alex Bregman	CHC	149	641	563	142	28	1	23	80	79	66	90	8	2	1	.253	.337	.426	.764	.333	113	-1.6	1.3	8.5	3.6	3.5	120.3	1.90	-0.57	4.02
32	Bryce Harper	PHI	140	606	522	142	32	1	26	83	84	74	129	5	9	3	.272	.365	.486	.851	.364	133	-0.2	0.8	23.6	-10.1	3.4	51.0	1.91	1.83	4.24
33	Alejandro Kirk	TOR	122	484	428	114	19	0	15	52	63	47	60	4	1	0	.267	.341	.421	.763	.332	114	-2.1	1.9	5.7	10.5	3.4	161.9	2.19	-0.41	3.91
34	Matt Chapman	SFG	145	613	532	126	28	2	23	81	74	70	151	7	9	3	.238	.332	.429	.761	.332	113	-0.5	1.3	8.5	3.6	3.4	169.9	2.44	0.93	4.04
35	Willy Adames	SFG	152	649	570	132	26	1	27	84	84	70	165	4	11	3	.231	.316	.422	.738	.320	105	-0.2	-0.3	3.5	6.7	3.3	136.1	3.01	-0.17	3.53
36	Maikel Garcia	KCR	150	640	577	155	32	4	12	83	65	53	95	2	26	7	.268	.329	.400	.729	.319	104	1.9	3.5	4.5	5.9	3.3	70.0	2.58	0.82	3.55
37	Gabriel Moreno	ARI	112	441	392	108	20	1	11	53	54	41	76	3	4	2	.275	.347	.414	.761	.332	112	-0.4	3.7	5.9	11.5	3.3	181.0	1.13	-0.89	3.73
38	Nick Kurtz	ATH	142	577	514	135	26	2	38	94	95	54	177	4	3	1	.262	.335	.540	.875	.369	138	-0.6	-2.7	25.4	-13.9	3.2	17.7	3.30	-0.43	3.24
39	Adley Rutschman	BAL	139	564	495	123	25	1	17	65	64	61	90	3	1	0	.249	.332	.406	.738	.323	108	-1.2	1.2	4.2	6.9	3.1	156.5	2.72	0.97	4.47
40	Byron Buxton	MIN	121	520	467	116	25	4	27	78	72	40	141	8	15	2	.249	.317	.493	.810	.344	121	2.0	-1.9	14.7	-2.2	3.1	71.0	2.67	-4.44	4.40
41	Dansby Swanson	CHC	153	628	568	137	25	2	22	78	75	53	159	3	16	4	.241	.307	.407	.714	.310	98	1.1	2.4	-0.4	9.5	3.1	157.2	3.48	0.62	4.23
42	Bo Bichette	NYM	139	608	562	160	30	2	17	75	77	38	99	3	5	2	.285	.333	.436	.769	.333	113	-0.6	0.3	9.0	0.7	3.1	102.0	2.25	0.71	3.53
43	Jacob Wilson	ATH	136	565	522	153	29	1	10	70	63	31	50	7	6	2	.293	.339	.414	.753	.329	110	-0.6	-1.7	6.3	4.5	3.1	189.2	2.31	-0.12	3.05
44	Austin Riley	ATL	146	626	568	146	29	2	28	81	85	46	163	7	2	1	.258	.319	.462	.781	.336	115	-0.9	-3.0	10.2	-1.2	3.1	73.5	2.94	1.24	3.81
45	Freddie Freeman	LAD	143	618	540	150	33	2	22	84	84	65	115	8	8	2	.278	.361	.469	.830	.355	129	-1.2	0.1	19.9	-11.0	3.1	72.2	2.76	0.04	3.94
46	Jordan Westburg	BAL	133	565	519	135	27	3	23	77	72	36	127	7	5	2	.261	.317	.455	.772	.333	115	-0.4	-0.9	9.7	0.6	3.0	127.5	2.54	0.86	4.34
47	Jazz Chisholm Jr.	NYY	141	589	523	125	19	2	28	80	77	57	157	5	33	8	.238	.317	.445	.762	.328	110	2.4	-1.7	9.6	0.1	3.0	21.8	1.87	-0.81	3.38
48	Rafael Devers	SFG	151	656	562	143	28	1	31	88	92	83	161	6	2	1	.254	.353	.472	.825	.352	127	-1.5	0.7	19.2	-12.0	3.0	56.3	1.70	-0.52	3.46
49	Yainer Diaz	HOU	134	529	499	134	24	1	20	59	69	23	91	3	1	0	.269	.302	.444	.746	.319	105	-0.6	-0.8	2.6	7.7	2.9	112.2	1.57	-0.17	3.89
50	Riley Greene	DET	148	629	565	145	27	3	28	82	89	56	176	5	4	1	.257	.327	.463	.790	.339	118	-0.8	1.6	12.6	-5.8	2.9	80.7	2.78	-1.07	3.81
51	Roman Anthony	BOS	139	599	516	137	30	2	18	84	66	73	151	5	11	3	.265	.360	.439	.799	.349	121	-0.1	1.2	14.5	-6.7	2.9	54.3	2.82	-0.19	4.25
