,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,SO_sharpe,WHIP_sharpe,ERA_sharpe,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,,,,,
1,Tarik Skubal,14.25,0.7071067811865477,238.0,9.289010404005062,0.97,0.025071326821120364,2.65125,0.1121781109282402,10.253048327204937,15.063499115004733,-12.364722545870713,-13.337606486858238,51.01887647493862
2,Max Fried,13.625,0.517549169506766,171.625,8.382592507265109,1.17125,0.024748737341529173,3.32625,0.043732139211339595,12.800716125800662,8.774135201759476,-4.39416356880212,-18.777665918228593,44.74668081459085
3,MacKenzie Gore,10.5,0.5345224838248487,180.5,2.7255405754769817,1.24,0.01690308509457035,3.8575,0.07741354624907158,6.547900426854398,30.24170718338151,-2.366431913239846,-3.7453070431258917,42.901346566601646
4,Paul Skenes,13.125,0.6408699444616558,221.25,12.668859459319926,1.05375,0.02326094212561974,2.8325,0.12464234547582242,9.5573213456673,9.722658965119829,-9.726605172660095,-10.549685140954487,39.55627062440171
5,Garrett Crochet,14.125,1.125991626459604,230.5,15.023790657297038,1.0725,0.014880476182856768,2.9825,0.17152675759609212,6.32775575996312,8.814353382625265,-13.94444622941925,-6.791578855254595,35.87813422726223
6,Logan Webb,14.25,1.281739888923311,190.5,5.264435935053795,1.165,0.02618614682831912,3.2375,0.123143354324485,5.656373857639833,17.556486799388804,-4.391635040999341,-7.3892538090386735,34.993749507066646
7,Freddy Peralta,11.5,0.5345224838248488,179.125,5.488624600025034,1.2037499999999999,0.022638462845343554,3.79875,0.0535690475661351,8.418729120241368,14.76690535542007,-3.3681615452828244,-6.509122634101682,33.06291865504594
8,Yoshinobu Yamamoto,12.375,0.7440238091428447,171.25,5.994044663544928,1.11125,0.06424006315599098,3.3175,0.07667184247539263,7.224231179096658,12.207950408685093,-2.626865412479945,-10.824540968431315,32.88358796869301
9,Joe Ryan,10.875,0.35355339059327356,182.625,6.78101340930269,1.10625,0.028252686345094397,3.80875,0.143271719869225,10.960155108391493,12.468637782666546,-6.149857676460165,-2.363952218268516,31.94260278578672
10,Jesús Luzardo,11.75,0.7071067811865476,193.875,7.100050301632681,1.18125,0.012464234547582375,3.73375,0.18345396464196997,6.717514421272201,13.492862153099178,-7.922668626221749,-2.2549935119001376,30.38803871249327
11,Cristopher Sánchez,12.625,1.6850180160122066,188.75,10.319883720275145,1.145,0.018516401995450977,3.195,0.08734169352933009,3.3382432392694676,8.786436209727222,-7.290833285708864,-10.90472901902415,30.320241753729704
12,George Kirby,11.875,0.8345229603962802,164.125,9.627898450411106,1.1025,0.013887301496588272,3.5375,0.14897267247001073,5.841660722773962,6.8602717758390686,-12.781460821859946,-4.094291187014749,29.577684507487724
13,Jacob deGrom,10.5,0.5345224838248487,176.875,15.751984002023365,1.06875,0.022320714274285357,3.49625,0.08568005268772555,6.547900426854398,5.00254444074334,-9.464302862537473,-7.600222917384928,28.61497064752014
14,Logan Gilbert,10.5,1.1952286093343936,184.5,8.960229588895274,1.065,0.02203892660077356,3.39125,0.14788388302023595,2.9283100928692645,9.645400170003406,-9.75546603946009,-5.11338683131904,27.442563133651802
15,Dylan Cease,12.0,0.7559289460184544,208.25,8.713700214522609,1.19875,0.026423744732991333,3.59875,0.11667261889578034,6.614378277661477,12.643882310339052,-3.0748858960386283,-4.702795781845984,27.03594226588514
16,Hunter Brown,12.5,0.7559289460184546,192.875,7.356969484781081,1.185,0.02828427124746195,3.40875,0.2517616503191631,7.275816105427623,12.88574054793989,-3.358757210636094,-2.9340747451549962,26.4543886091586
17,Framber Valdez,13.0,0.9258200997725514,173.0,7.819389819088006,1.2275,0.028157719063467205,3.4525,0.09437766079503583,6.48074069840786,9.58194970879949,-1.8644976136620135,-7.363368557197304,25.290556578066667
18,Bryan Woo,12.75,0.8864052604279182,190.625,14.070612739221515,1.05,0.03891382420536064,3.37,0.1337374827253537,6.4868748604043125,6.577538712441355,-5.910495940625541,-5.813160859297484,24.788070372768694
19,Zack Wheeler,9.625,0.744023809142845,153.625,12.58045536309625,1.095,0.025634797778466157,3.2925,0.10152409988344085,3.5281129014192967,4.415579436254069,-7.216752852850841,-8.421030090210579,23.581475280734786
20,Chris Sale,11.375,1.1877349391654206,191.125,17.715509750337006,1.1,0.0169030850945703,3.2475,0.231439594093763,3.683481773361115,5.252459641937761,-10.648943609579325,-3.8884336257322003,23.473318650610402
21,Sonny Gray,11.75,0.7071067811865476,178.375,10.377688980280173,1.20125,0.02100170061141313,3.76125,0.0947835880911275,6.717514421272201,7.7377535742868355,-3.749696343981036,-4.07441317402659,22.279377513566665
22,Kevin Gausman,11.5,0.5345224838248487,173.75,7.459413994601531,1.22875,0.020310096011589906,3.9899999999999998,0.2168607189616673,8.41872912024137,10.144898788935288,-2.5233755650763214,-0.7259844048927497,21.81298787914573
23,Nick Pivetta,10.625,0.9161253813129042,184.25,8.224527776283399,1.15875,0.025319388392523033,3.9125,0.10713809513227052,3.9568819660961614,10.477805211929363,-4.788820255856019,-2.1928474620530682,21.41635489593461
24,Nolan McLean,10.25,0.4629100498862759,143.75,4.131758532565597,1.275,0.02563479777846637,3.8137499999999998,0.10769500585316981,7.02080242327518,11.054615036188554,-0.19504737440137693,-3.098449156081999,21.36891398994711
25,Cole Ragans,10.5,1.3093073414159542,190.5,19.227955838161417,1.1475,0.03284161123592183,3.4025,0.07796519369931304,2.673169155390907,4.806803218081331,-4.0345158173930535,-9.554744427019406,21.069232617884698
26,Pablo López,10.375,1.0606601717798214,158.75,11.080871549012482,1.19625,0.009161253813129036,3.81125,0.12322308457196071,3.1819805153394634,5.4756523195512825,-9.141761783739414,-2.7282834313701234,20.527678050000283
27,Brandon Pfaadt,9.75,0.4629100498862759,143.75,3.2841611235921824,1.25625,0.02669269563007826,4.36125,0.24764245539544652,5.940678973540536,13.907661129013414,-0.8897565210026076,0.8633919400394212,19.874704683517137
28,Jack Flaherty,10.375,0.5175491695067657,172.375,7.130167299179293,1.24625,0.028753881725529094,4.02,0.11964232409262898,6.521119535785248,10.420512855084368,-1.1737545671976197,-1.0651539993600923,19.180540957427326
29,Luis Castillo,10.875,0.6408699444616557,161.625,7.89099848833195,1.20875,0.018850918886280987,3.94875,0.2598591651535227,6.046468606442579,8.05348018935353,-3.7796566008171193,-0.7645968533863976,18.644202249999626
30,Ranger Suárez,11.5,0.7559289460184546,145.625,5.974648824109128,1.2525,0.02659215781283756,3.695,0.18593393604027345,5.952940449895327,7.9586267577977905,-1.0341394704992406,-2.4333239516964857,17.379030629888845
