#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
32	Eury Pérez	MIA	27	27	144.1	9	9	9	0	0	120	63	20	161	48	1.16	10.02	2.99	3.90	3.82	2.6	2.4	78.7	2.59	0.50	4.05
33	MacKenzie Gore	TEX	28	28	158.1	10	10	12	0	0	140	69	20	178	60	1.27	10.13	3.43	3.91	3.83	2.6	2.1	164.8	4.65	1.51	3.62
34	Nick Pivetta	SDP	28	28	166.2	10	9	13	0	0	143	73	26	181	50	1.16	9.80	2.70	3.92	3.96	2.6	2.5	96.0	1.63	-1.52	3.71
35	Kris Bubic	KCR	24	29	138.0	9	8	10	0	1	127	58	15	134	45	1.25	8.74	2.94	3.75	3.66	2.5	2.3	190.7	2.03	-0.12	4.30
36	Matthew Boyd	CHC	27	27	159.1	11	9	12	0	0	146	69	21	146	45	1.20	8.24	2.54	3.89	4.00	2.5	2.4	212.8	4.14	-3.78	4.02
37	Spencer Strider	ATL	26	26	156.0	11	9	11	0	0	135	68	21	181	56	1.22	10.43	3.23	3.95	3.78	2.5	2.5	124.9	2.64	0.10	3.64
38	Blake Snell	LAD	21	21	122.0	9	6	10	0	0	95	47	13	150	52	1.21	11.06	3.84	3.44	3.41	2.5	2.6	178.4	2.25	-0.71	4.13
39	Sandy Alcantara	MIA	28	28	177.0	10	11	12	0	0	172	82	21	149	51	1.26	7.56	2.61	4.16	3.96	2.5	2.3	144.6	2.58	-0.52	3.58
40	Aaron Nola	PHI	27	27	164.2	10	10	12	0	0	158	76	25	162	45	1.23	8.87	2.46	4.16	4.07	2.5	2.2	205.5	3.73	0.37	3.64
41	Shohei Ohtani	LAD	22	22	113.1	8	5	8	0	0	91	42	14	134	35	1.11	10.68	2.74	3.37	3.36	2.5	2.5	1.3	2.34	-0.51	4.01
42	Tanner Bibee	CLE	29	29	174.2	11	10	12	0	0	161	77	24	164	52	1.22	8.44	2.68	3.99	4.06	2.4	2.3	188.6	3.09	1.57	3.72
43	Andrew Abbott	CIN	28	28	164.2	10	9	11	0	0	156	75	26	151	51	1.25	8.23	2.78	4.11	4.39	2.4	2.6	221.9	4.27	0.16	3.77
44	Nick Lodolo	CIN	27	27	152.2	9	8	12	0	0	142	68	22	155	39	1.19	9.14	2.31	4.02	4.03	2.4	2.6	127.9	2.15	-0.21	4.01
45	Tyler Glasnow	LAD	22	22	129.1	8	6	11	0	0	104	53	16	151	48	1.18	10.53	3.37	3.69	3.59	2.4	2.3	113.7	2.69	0.75	4.26
46	Brady Singer	CIN	29	29	167.0	11	11	12	0	0	163	82	24	155	53	1.29	8.37	2.88	4.40	4.26	2.3	2.0	388.3	2.54	-0.05	3.11
47	Nolan McLean	NYM	26	26	152.2	11	8	11	0	0	134	63	16	151	58	1.26	8.88	3.39	3.70	3.83	2.3	2.8	87.3	3.35	-1.46	3.87
