#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP	Vol	Skew	Dim
206	Jose A. Ferrer	SEA	0	64	66.2	4	2	0	3	19	60	25	5	62	18	1.16	8.34	2.43	3.37	3.24	0.7	0.6	999.0	2.91	2.28	3.73
207	J.T. Ginn	ATH	9	26	66.1	3	4	3	0	1	64	31	8	62	24	1.32	8.49	3.20	4.23	4.13	0.7	0.5	999.0	2.82	0.09	4.35
208	Ryan Walker	SFG	0	60	63.0	4	4	0	24	5	56	25	6	66	20	1.21	9.40	2.80	3.52	3.36	0.7	0.6	169.6	1.76	0.58	2.77
209	David Festa	MIN	5	28	52.2	3	3	2	0	1	47	24	7	55	18	1.24	9.41	3.02	4.12	3.90	0.7	0.4	999.0	2.14	0.57	3.97
210	Chase Dollander	COL	23	23	123.0	5	10	6	0	0	128	75	20	105	55	1.49	7.69	4.04	5.47	5.08	0.7	0.6	999.0	3.25	0.60	2.67
211	Robert Suarez	ATL	0	65	67.2	5	5	0	11	8	58	27	8	70	20	1.16	9.39	2.65	3.59	3.55	0.7	0.7	216.3	2.29	-1.25	3.75
212	Chris Martin	TEX	0	52	53.1	3	3	0	3	11	50	20	6	53	11	1.14	8.88	1.86	3.45	3.39	0.7	0.5	735.9	1.90	1.13	3.55
213	Gabe Speier	SEA	0	60	57.2	3	3	0	1	19	46	22	6	68	16	1.08	10.65	2.55	3.36	3.19	0.7	0.5	999.0	1.62	1.34	3.55
214	Tyler Wells	BAL	11	43	96.1	5	5	5	0	2	90	47	17	85	25	1.19	7.93	2.34	4.38	4.52	0.7	0.4	735.8	3.89	-1.51	4.35
215	Marcus Stroman		18	18	95.1	6	6	5	0	0	101	51	12	68	37	1.44	6.41	3.50	4.80	4.65	0.6	0.4	999.0	1.35	0.01	4.02
216	Bryce Elder	ATL	15	22	91.1	6	6	6	0	1	94	47	12	74	32	1.38	7.35	3.11	4.66	4.38	0.6	0.6	999.0	2.97	0.97	4.41
217	Kyle Harrison	MIL	9	25	67.0	3	3	2	0	2	61	31	9	68	27	1.31	9.14	3.59	4.22	4.17	0.6	0.6	999.0	2.95	0.31	4.36
218	Jeff Hoffman	TOR	0	62	63.2	5	4	0	26	4	51	25	9	75	23	1.16	10.70	3.22	3.61	3.74	0.6	0.5	114.6	2.09	2.50	2.72
219	Tanner Scott	LAD	0	63	65.2	4	4	0	5	18	55	26	7	73	26	1.23	10.05	3.62	3.54	3.66	0.6	0.7	702.2	1.57	-0.77	4.03
220	Alex Vesia	LAD	0	62	62.2	4	3	0	2	23	48	25	8	78	25	1.18	11.21	3.63	3.55	3.75	0.6	0.6	999.0	1.29	-1.06	4.01
221	Joe Boyle	TBR	12	20	73.0	4	5	3	0	1	61	35	9	77	39	1.37	9.57	4.85	4.30	4.36	0.6	0.7	683.4	2.06	1.65	4.60
222	Andrew Painter	PHI	16	23	90.2	5	6	6	0	1	93	47	14	76	34	1.40	7.54	3.41	4.68	4.71	0.6	0.6	999.0	4.43	0.80	4.41
223	Ryan Helsley	BAL	0	62	64.2	4	4	0	29	3	55	26	7	73	24	1.23	10.09	3.37	3.55	3.59	0.6	0.5	83.8	2.77	1.92	2.43
224	Stephen Kolek	KCR	8	31	71.0	4	4	3	0	1	74	34	7	51	22	1.35	6.47	2.82	4.26	4.12	0.6	0.5	999.0	1.21	-0.61	4.34
225	Aaron Bummer	ATL	0	57	60.2	3	2	0	0	8	56	25	4	61	22	1.29	9.12	3.24	3.70	3.37	0.6	0.5	999.0	2.24	0.69	4.01
226	Kutter Crawford	BOS	6	41	76.2	5	5	4	0	2	70	36	12	74	21	1.19	8.74	2.52	4.28	4.17	0.6	0.5	999.0	1.43	0.98	4.30
227	Raisel Iglesias	ATL	0	64	66.2	4	4	0	28	4	58	27	8	70	17	1.14	9.51	2.34	3.63	3.52	0.6	0.7	93.2	2.05	-0.84	2.53
228	Fernando Cruz	NYY	0	58	60.1	3	4	0	1	19	47	25	7	81	28	1.24	12.09	4.13	3.70	3.57	0.6	0.4	999.0	2.66	0.66	4.12
229	Ryan Weiss	HOU	9	31	74.0	4	5	4	0	1	69	36	10	72	29	1.33	8.74	3.59	4.35	4.30	0.6	0.4	999.0	2.45	1.31	4.64
230	Aaron Ashby	MIL	1	55	66.2	4	3	0	1	10	59	27	5	69	30	1.33	9.30	4.06	3.58	3.62	0.6	0.7	999.0	2.73	0.26	4.06
231	Louis Varland	TOR	0	59	66.2	4	3	0	4	15	62	28	8	66	19	1.22	8.98	2.62	3.78	3.75	0.6	0.4	999.0	3.28	0.64	4.00
232	Daniel Palencia	CHC	0	63	66.0	3	4	0	28	5	55	27	7	73	27	1.25	9.94	3.66	3.72	3.68	0.6	0.5	127.5	2.79	0.53	2.47
233	Charlie Morton		14	14	74.1	5	5	5	0	0	71	39	10	74	34	1.42	8.93	4.08	4.67	4.56	0.6	0.4	999.0	2.26	1.62	4.56
234	Garrett Cleavinger	TBR	0	64	64.1	4	4	0	7	21	51	25	8	78	24	1.16	10.87	3.30	3.44	3.59	0.6	0.7	718.6	2.00	0.01	3.81
235	Bryan King	HOU	0	64	65.0	3	3	0	0	17	58	26	8	64	18	1.18	8.90	2.54	3.61	3.67	0.6	0.6	999.0	1.56	-1.27	3.85
236	Colin Rea	CHC	9	34	80.2	5	4	4	0	1	81	39	12	65	23	1.29	7.27	2.55	4.35	4.44	0.6	0.6	999.0	2.26	-0.17	4.54
237	Richard Fitts	STL	17	30	100.1	4	7	5	0	1	100	49	15	77	32	1.32	6.92	2.89	4.41	4.58	0.6	0.8	999.0	1.57	1.29	4.71
238	Corbin Burnes	ARI	6	6	38.0	3	2	3	0	0	34	15	4	36	12	1.21	8.64	2.86	3.60	3.74	0.6	0.8	735.1	1.27	0.15	3.54
239	Spencer Arrighetti	HOU	16	27	96.1	5	7	5	0	1	88	49	14	95	42	1.35	8.90	3.92	4.60	4.58	0.6	0.4	594.4	2.88	-3.27	4.45
240	Lucas Erceg	KCR	0	60	63.1	5	5	0	4	15	57	26	6	61	23	1.27	8.62	3.26	3.69	3.63	0.6	0.5	999.0	1.42	-1.12	4.03
241	Dylan Lee	ATL	0	63	66.0	3	3	0	2	16	58	26	9	72	18	1.15	9.89	2.44	3.59	3.61	0.5	0.6	999.0	1.04	-0.60	3.82
242	Tyler Anderson		21	21	115.1	5	7	7	0	0	117	62	19	89	47	1.42	6.95	3.63	4.87	5.04	0.5	0.4	999.0	2.32	-1.01	3.79
243	Caleb Thielbar	CHC	0	64	62.2	3	3	0	1	17	54	26	8	65	20	1.18	9.27	2.86	3.74	3.75	0.5	0.5	999.0	1.98	1.11	3.92
244	Sam Hentges	SFG	0	51	50.1	2	2	0	0	7	46	20	5	51	17	1.25	9.09	3.03	3.56	3.45	0.5	0.4	999.0	2.57	0.38	3.61
245	Jared Koenig	MIL	0	60	64.2	4	3	0	1	14	57	25	7	65	22	1.22	9.10	3.05	3.49	3.65	0.5	0.7	999.0	1.11	0.90	3.95
246	Jonah Tong	NYM	5	12	32.2	2	2	2	0	0	27	14	4	37	14	1.24	10.11	3.76	3.81	3.68	0.5	0.5	485.5	2.19	0.33	3.60
247	Matt Svanson	STL	0	59	66.2	3	2	0	5	10	61	27	6	62	24	1.27	8.43	3.25	3.65	3.67	0.5	0.6	705.5	5.02	-3.62	3.88
248	Camilo Doval	NYY	0	62	64.0	4	4	0	5	16	53	26	5	71	31	1.31	10.02	4.34	3.67	3.64	0.5	0.6	999.0	1.90	1.89	4.08
249	Jake Irvin	WSN	24	29	143.0	7	9	9	0	0	147	77	24	106	47	1.36	6.67	2.97	4.87	4.92	0.5	0.5	999.0	2.33	0.80	3.31
250	Cole Sands	MIN	0	62	67.0	4	3	0	4	13	62	30	8	65	20	1.23	8.77	2.71	4.00	3.74	0.5	0.3	718.2	1.01	3.38	4.08
251	Robert Garcia	TEX	0	62	62.1	4	4	0	16	11	55	25	7	67	22	1.23	9.67	3.19	3.65	3.62	0.5	0.4	264.6	3.12	0.40	3.30
252	Trevor McDonald	SFG	8	19	57.0	3	3	3	0	1	56	27	6	45	20	1.34	7.12	3.19	4.19	4.24	0.5	0.5	999.0	4.09	1.27	4.08
253	Mick Abel	MIN	13	35	91.1	5	6	5	0	1	87	47	12	84	41	1.40	8.27	4.03	4.64	4.49	0.5	0.3	999.0	1.62	2.11	4.39
254	Brusdar Graterol	LAD	0	48	48.2	3	1	0	0	6	44	19	4	41	14	1.19	7.53	2.52	3.49	3.50	0.5	0.5	999.0	1.48	1.89	3.52
255	A.J. Minter	NYM	0	52	54.0	3	3	0	2	21	44	20	6	60	19	1.18	9.97	3.18	3.41	3.49	0.5	0.6	999.0	1.79	1.50	3.74
256	Graham Ashcraft	CIN	1	54	63.0	4	3	1	1	13	62	28	6	55	21	1.32	7.84	3.02	4.06	3.88	0.5	0.4	999.0	2.36	0.74	4.23
257	Gregory Soto	PIT	0	63	61.0	2	3	0	3	14	55	26	5	65	25	1.30	9.59	3.63	3.85	3.59	0.5	0.5	999.0	3.16	1.37	3.95
258	Edwin Uceta	TBR	0	65	71.1	5	3	0	12	17	59	30	10	84	26	1.18	10.60	3.26	3.76	3.80	0.5	0.5	252.5	1.02	0.09	3.83
