i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
627	Gabe Speier	SEA	0	62	52.0	4	2		0	12	43	20	6	60	16	1.13	10.38	2.77	3.46	3.42	0.4	0.3	999.0
628	Carson Palmquist	COL	17	29	99.1	4	8		0	1	101	58	16	93	50	1.52	8.43	4.53	5.26	5.14	0.4	0.6	999.0
629	Yilber Díaz	ARI	15	30	84.1	5	4		0	1	78	39	10	81	42	1.42	8.65	4.48	4.16	4.39	0.4	1.0	999.0
630	Victor Mederos	LAA	20	22	103.2	5	9		0	1	109	59	15	77	43	1.47	6.68	3.73	5.12	5.15	0.4	0.1	999.0
631	Ian Hamilton	ATL	1	46	52.1	2	2		0	7	46	21	5	55	23	1.32	9.46	3.96	3.61	3.71	0.4	0.5	999.0
632	Jean Cabrera	PHI	21	22	109.0	5	8		0	0	115	63	17	84	44	1.46	6.94	3.63	5.20	5.03	0.4	0.2	999.0
633	Freddy Tarnok		11	29	67.1	3	3		0	0	63	33	9	63	32	1.41	8.42	4.28	4.41	4.56	0.4	0.5	999.0
634	Tony Santillan	CIN	0	69	63.2	3	3		4	13	55	30	7	66	29	1.32	9.32	4.10	4.24	4.09	0.4	0.3	626.3
635	Sean Sullivan	PIT	12	26	76.2	4	5		0	0	80	38	10	56	28	1.41	6.57	3.29	4.46	4.58	0.4	0.7	999.0
636	Jordan Leasure	CHW	1	58	56.0	4	5		5	11	47	27	8	65	25	1.29	10.45	4.02	4.34	4.12	0.4	0.0	430.9
637	Trent Sellers	NYY	18	22	81.1	3	4		0	0	77	45	12	74	41	1.45	8.19	4.54	4.98	4.89	0.4	0.0	999.0
638	Chris Murphy	CHW	9	32	76.1	3	4		0	1	72	39	9	66	38	1.44	7.79	4.48	4.60	4.67	0.4	0.2	999.0
639	Lael Lockhart	DET	20	24	93.1	5	7		0	0	95	51	13	77	45	1.50	7.43	4.34	4.92	4.87	0.4	0.2	999.0
640	Cory Abbott		13	22	71.2	3	4		0	0	68	39	11	68	32	1.39	8.54	4.02	4.90	4.70	0.4	0.1	999.0
641	Max Alba	DET	16	25	84.0	2	4		0	0	92	47	13	55	24	1.38	5.89	2.57	5.04	4.77	0.4	0.0	999.0
642	John Michael Bertrand	SFG	23	25	120.1	7	9		0	0	138	63	16	69	39	1.47	5.16	2.92	4.71	4.76	0.4	0.6	999.0
643	Ryan Yarbrough	NYY	8	23	70.2	3	4		0	7	68	36	11	57	21	1.26	7.26	2.67	4.58	4.69	0.4	0.2	999.0
644	Lucas Gordon	CHW	22	23	92.2	5	8		0	0	96	53	14	73	44	1.51	7.09	4.27	5.15	5.04	0.4	0.0	999.0
645	Jacob Waguespack	MIL	7	22	51.2	3	2		0	0	52	26	7	47	19	1.37	8.18	3.31	4.53	4.35	0.4	0.3	999.0
646	Jurrangelo Cijntje	STL	21	24	97.1	5	6		0	0	90	51	12	87	43	1.37	8.05	3.98	4.72	4.68	0.4	0.1	999.0
647	Kevin Ginkel	ARI	0	49	47.1	4	3		12	11	41	18	4	49	19	1.27	9.32	3.62	3.42	3.49	0.4	0.6	720.0
648	Kevin Herget	NYM	4	35	54.2	2	2		0	0	56	26	7	44	15	1.30	7.24	2.47	4.28	4.12	0.4	0.2	999.0
649	A.J. Minter	NYM	0	56	51.0	5	3		2	15	43	20	6	56	17	1.18	9.88	3.00	3.53	3.53	0.4	0.4	999.0
650	Carlos Estévez	KCR	0	59	57.0	4	4		31	2	49	25	6	49	20	1.21	7.74	3.16	3.95	3.94	0.4	0.3	91.3
651	Jaden Hamm	DET	22	22	88.2	3	5		0	0	92	50	13	65	34	1.42	6.60	3.45	5.07	4.89	0.4	0.1	999.0
652	Charlie Morton		22	25	120.0	7	9		0	0	117	65	18	121	57	1.45	9.08	4.28	4.88	4.79	0.4	0.6	999.0
653	Grant Holmes	ATL	9	24	69.1	4	3		0	1	67	32	9	64	27	1.36	8.31	3.51	4.16	4.32	0.4	0.7	671.7
654	Dylan Floro		0	43	41.2	3	3		0	0	42	18	3	31	13	1.32	6.69	2.81	3.88	3.59	0.4	0.3	999.0
655	Jose Gonzalez	LAA	19	21	91.0	5	8		0	0	99	53	15	67	26	1.37	6.63	2.57	5.24	4.96	0.4	0.0	999.0
656	Jimmy Herget	COL	0	49	66.0	2	2		2	15	65	32	9	62	21	1.30	8.45	2.86	4.36	4.21	0.4	0.4	999.0
657	Chase Solesky	TBR	20	21	97.0	4	6		0	0	105	54	15	63	35	1.44	5.85	3.25	5.01	5.02	0.4	0.2	999.0
658	Moisés Chace	PHI	15	22	66.2	3	4		0	0	62	36	9	65	36	1.47	8.77	4.86	4.86	4.74	0.4	0.3	999.0
659	Kevin Kelly	TBR	1	56	59.0	4	4		0	1	53	25	7	53	13	1.12	8.08	1.98	3.81	3.90	0.4	0.4	999.0
660	Brandon Waddell	NYM	14	24	86.2	5	5		0	0	89	45	12	68	29	1.36	7.06	3.01	4.67	4.65	0.4	0.3	999.0
661	Keegan Akin	BAL	3	58	63.2	4	3		3	15	58	28	9	64	21	1.24	9.04	2.97	3.96	4.00	0.4	0.4	999.0
662	Robert Stock	NYM	13	18	70.1	3	5		0	0	70	38	10	64	31	1.44	8.19	3.97	4.86	4.87	0.4	0.1	999.0
663	Dakota Hudson		20	23	117.2	5	8		0	0	133	70	16	67	44	1.50	5.12	3.36	5.35	5.06	0.4	-0.3	999.0
664	Trystan Vrieling	SFG	18	20	89.2	4	5		0	0	96	47	13	65	29	1.39	6.52	2.91	4.72	4.67	0.4	0.4	999.0
665	Yennier Cano	BAL	0	64	60.1	5	3		1	12	57	24	6	53	20	1.28	7.91	2.99	3.58	3.77	0.4	0.5	999.0
666	Emiliano Teodo	TEX	10	24	59.1	3	5		0	0	53	31	7	58	32	1.43	8.80	4.86	4.70	4.53	0.4	0.1	999.0
667	Andrew Hoffmann	ARI	11	34	77.2	6	5		0	1	77	35	10	70	30	1.38	8.11	3.47	4.05	4.28	0.4	0.9	999.0
668	Trenton Wallace	TOR	15	24	70.1	2	3		0	0	65	35	10	66	34	1.41	8.45	4.35	4.48	4.77	0.4	0.4	999.0
669	Seranthony Domínguez	CHW	0	62	56.1	4	4		20	6	47	25	7	64	27	1.31	10.23	4.32	4.00	4.02	0.4	0.2	230.4
670	Bowden Francis	TOR	14	21	76.2	5	6		0	0	72	40	14	67	26	1.28	7.86	3.05	4.69	5.01	0.4	0.3	999.0
671	John Schreiber	KCR	0	63	56.2	3	3		1	13	51	25	6	53	20	1.25	8.41	3.17	3.97	3.86	0.4	0.3	999.0
672	James McArthur	KCR	4	30	46.1	3	3		0	1	45	22	5	42	17	1.34	8.16	3.30	4.28	4.02	0.4	0.3	999.0
673	Trent Baker	MIN	15	27	88.0	4	6		0	0	94	47	13	66	32	1.43	6.75	3.27	4.81	4.78	0.4	0.2	999.0
674	Owen Wild	TBR	21	21	96.1	5	7		0	0	102	56	17	71	33	1.40	6.64	3.08	5.23	5.05	0.4	-0.1	999.0
675	Jordan Balazovic		9	34	66.0	3	5		0	0	67	34	8	52	28	1.44	7.09	3.82	4.64	4.45	0.4	0.1	999.0
676	Carlos Peña	DET	16	24	94.1	6	7		0	0	101	52	14	65	32	1.41	6.20	3.05	4.96	4.86	0.4	0.1	999.0
677	Rodney Boone	CLE	16	17	71.0	4	5		0	0	73	35	11	55	24	1.37	6.97	3.04	4.44	4.74	0.4	0.5	999.0
678	Michael Fulmer	SFG	3	42	55.1	2	2		0	0	50	24	7	58	23	1.32	9.44	3.74	3.91	4.04	0.4	0.2	999.0
679	Adam Macko	TOR	15	20	75.2	5	5		0	0	73	40	11	66	33	1.40	7.85	3.92	4.76	4.87	0.4	0.3	999.0
680	Julian Aguiar	CIN	18	20	91.1	3	6		0	1	98	55	15	61	29	1.39	6.01	2.86	5.42	5.15	0.4	0.1	999.0
681	Andry Lara	WSN	14	27	83.2	5	8		0	0	93	46	10	56	34	1.52	6.02	3.66	4.95	4.64	0.4	0.1	999.0
682	Josh Trentadue	TEX	13	21	67.2	2	3		0	0	64	38	9	60	31	1.40	7.98	4.12	5.05	4.73	0.4	-0.1	999.0
683	Brooks Raley	NYM	1	41	35.2	2	2		1	14	30	15	3	35	12	1.18	8.82	3.03	3.78	3.61	0.4	0.3	999.0
684	José Urquidy	PIT	14	17	71.1	4	5		0	1	73	38	11	52	21	1.32	6.56	2.65	4.80	4.69	0.4	0.3	999.0
685	Micah Ashman	BAL	0	42	53.0	4	4		0	0	47	23	6	53	18	1.23	9.00	3.06	3.91	3.74	0.4	0.2	999.0
686	Rafael Sanchez	TOR	17	21	86.0	4	5		0	0	97	48	14	55	27	1.44	5.76	2.83	5.02	4.95	0.4	0.0	999.0
687	Mark Leiter Jr.	ATH	1	49	48.2	5	4		6	13	44	22	6	54	20	1.31	9.98	3.70	4.07	4.00	0.4	0.2	688.3
688	Eric Orze	MIN	0	50	62.1	3	3		0	10	56	28	7	63	28	1.35	9.10	4.04	4.04	4.07	0.4	0.2	999.0
689	Dylan Smith	DET	8	30	56.0	3	4		0	1	55	28	7	48	22	1.38	7.71	3.54	4.50	4.33	0.4	0.3	999.0
690	Hancel Rincon	STL	18	20	97.2	5	6		0	0	104	52	15	68	30	1.37	6.26	2.76	4.79	4.81	0.4	0.4	999.0
691	Connor McCullough	CHW	15	15	57.0	3	5		0	0	61	32	10	43	15	1.33	6.79	2.37	5.05	4.85	0.4	0.0	999.0
692	Ty Blach		14	21	76.0	3	4		0	0	87	44	12	47	18	1.38	5.57	2.13	5.21	4.82	0.4	-0.2	999.0
693	Garrett Hawkins	SDP	4	37	56.0	5	5		0	0	51	26	8	60	22	1.30	9.64	3.54	4.18	4.08	0.4	0.3	999.0
694	Kyle Robinson	ATH	18	23	106.2	6	10		0	0	118	61	15	63	43	1.51	5.31	3.63	5.15	5.05	0.4	0.1	999.0
695	Cody Laweryson	MIN	2	34	50.2	3	3		0	1	50	24	7	45	16	1.30	7.99	2.84	4.26	4.22	0.4	0.2	999.0
696	Porter Hodge	CHC	5	43	62.2	4	5		0	5	50	29	7	72	34	1.34	10.33	4.88	4.16	4.11	0.4	0.4	999.0
697	Ky Bush	CHW	15	15	72.1	3	6		0	0	78	41	10	50	33	1.54	6.22	4.11	5.10	5.00	0.4	0.1	999.0
698	Kyle Carr	NYY	23	23	106.1	5	8		0	0	111	63	15	72	50	1.51	6.10	4.23	5.33	5.11	0.4	-0.3	999.0
699	Sean Guenther	DET	2	36	46.0	3	3		0	1	48	21	5	33	13	1.33	6.46	2.54	4.11	4.09	0.4	0.2	999.0
700	Justin Wilson		0	49	38.0	2	2		0	0	38	16	4	41	15	1.39	9.71	3.55	3.79	3.61	0.4	0.3	999.0
701	Brock Burke	CIN	1	61	61.1	4	3		1	13	59	29	8	56	19	1.27	8.22	2.79	4.26	4.03	0.4	0.3	999.0
702	Josh White	MIA	2	42	58.2	5	4		0	0	52	26	7	59	23	1.28	9.05	3.53	3.99	4.00	0.4	0.5	999.0
703	Justin Sterner	ATH	1	52	59.1	3	3		8	10	52	26	8	61	22	1.25	9.26	3.34	3.95	4.15	0.4	0.4	503.0
704	Caleb Thielbar	CHC	0	55	45.1	4	2		1	15	40	18	6	47	14	1.19	9.34	2.78	3.58	3.71	0.4	0.5	999.0
705	Avery Weems		5	27	49.1	2	3		0	0	48	25	6	43	18	1.34	7.85	3.29	4.56	4.25	0.4	0.1	999.0
706	Justin Topa	MIN	1	47	49.0	3	2		6	11	50	22	4	39	15	1.33	7.16	2.76	4.04	3.77	0.4	0.2	999.0
707	Spencer Turnbull		13	17	64.1	3	5		0	0	68	36	8	46	27	1.48	6.44	3.78	5.04	4.86	0.4	0.1	999.0
708	Jack Mahoney	COL	21	22	96.2	4	8		0	0	114	59	14	56	38	1.57	5.21	3.54	5.49	5.22	0.4	0.4	999.0
709	Jackson Rutledge	WSN	12	41	89.2	4	5		1	11	93	49	13	74	36	1.44	7.42	3.61	4.92	4.84	0.4	0.0	999.0
710	Ryan Lobus	TEX	5	38	66.1	5	5		0	0	60	34	9	65	24	1.27	8.82	3.26	4.62	4.34	0.4	-0.1	999.0
711	Anders Tolhurst		11	20	65.1	3	5		0	0	66	35	10	51	23	1.36	7.03	3.17	4.82	4.76	0.4	0.1	999.0
712	Aaron Bummer	ATL	1	42	48.0	3	2		0	12	45	20	4	50	19	1.33	9.38	3.56	3.75	3.64	0.4	0.4	999.0
713	Po-Yu Chen	PIT	23	26	106.2	6	8		0	0	115	58	14	71	42	1.47	5.99	3.54	4.89	4.94	0.4	0.5	999.0
714	Taijuan Walker	PHI	20	28	112.1	5	7		0	1	121	64	19	78	41	1.44	6.25	3.29	5.13	5.17	0.4	0.2	999.0
715	Randy Rodríguez	SFG	3	34	50.0	3	3		0	0	43	22	5	52	24	1.34	9.36	4.32	3.96	4.04	0.4	0.3	999.0
716	Connor Seabold	TOR	12	26	79.0	3	5		0	0	83	44	12	63	27	1.39	7.18	3.08	5.01	4.81	0.4	-0.1	999.0
717	Shawn Dubin	ARI	4	33	46.0	2	2		0	0	45	20	5	44	20	1.41	8.61	3.91	3.91	4.07	0.4	0.4	999.0
718	Kody Funderburk	MIN	2	48	64.2	4	4		3	15	60	29	6	61	27	1.34	8.49	3.76	4.03	3.99	0.4	0.4	999.0
719	Thaddeus Ward		20	27	100.2	5	7		0	0	100	53	12	86	53	1.52	7.69	4.74	4.74	4.91	0.4	0.3	999.0
720	Gregory Santos	SFG	0	42	43.0	2	1		0	1	41	17	2	40	19	1.40	8.37	3.98	3.56	3.41	0.4	0.4	999.0
721	Jared Lyons	CIN	13	20	69.2	4	5		0	0	73	41	11	53	29	1.46	6.84	3.74	5.29	5.00	0.4	0.1	999.0
722	Peyton Gray	TEX	2	40	63.0	6	6		0	0	59	30	9	63	22	1.29	9.00	3.14	4.29	4.14	0.4	0.1	999.0
723	Andrew Sears	DET	19	23	95.1	5	7		0	0	96	54	14	76	38	1.41	7.18	3.59	5.10	4.96	0.4	0.0	999.0
724	Carlos Hernández	CLE	3	45	58.0	2	2		0	1	54	28	7	55	26	1.38	8.53	4.03	4.34	4.26	0.4	0.1	999.0
725	Dauri Moreta		1	51	52.0	3	3		0	0	43	22	6	58	23	1.27	10.04	3.98	3.81	3.90	0.4	0.4	999.0
726	José De León		11	20	69.0	4	4		0	0	70	37	10	62	31	1.46	8.09	4.04	4.83	4.87	0.4	0.3	999.0
727	Jack Choate	SFG	21	26	90.2	4	5		0	0	91	48	12	77	37	1.41	7.64	3.67	4.76	4.71	0.3	0.3	999.0
728	Brendan Girton	NYM	20	24	78.2	3	4		0	0	76	44	10	66	38	1.45	7.55	4.35	5.03	4.83	0.3	0.0	999.0
729	Christian MacLeod	MIN	17	24	80.0	4	4		0	0	82	42	11	67	39	1.51	7.54	4.39	4.73	4.86	0.3	0.4	999.0
730	Joey Lucchesi		8	35	76.2	4	3		0	0	79	36	9	55	28	1.40	6.45	3.29	4.22	4.40	0.3	0.5	999.0
731	Josh Maciejewski		6	30	62.0	4	4		0	0	61	31	8	52	24	1.37	7.55	3.48	4.50	4.39	0.3	0.2	999.0
732	Chase Lee	TOR	1	48	60.1	3	3		0	1	55	26	8	60	18	1.21	8.96	2.69	3.88	3.96	0.3	0.4	999.0
733	Cole Wilcox	SEA	13	30	84.2	5	5		0	1	85	43	10	65	32	1.38	6.91	3.40	4.57	4.45	0.3	0.1	999.0
734	Manuel Rodríguez	TBR	0	42	42.2	3	3		0	1	39	19	4	38	15	1.26	8.01	3.16	4.00	3.91	0.3	0.1	999.0
735	Tommy Nance	TOR	1	44	49.2	3	2		0	12	48	21	6	48	15	1.27	8.69	2.72	3.80	3.86	0.3	0.3	999.0
736	Yaramil Hiraldo	BAL	1	43	57.2	1	1		0	1	54	28	9	59	20	1.28	9.20	3.12	4.37	4.16	0.3	0.0	999.0
737	Zach Penrod	WSN	8	26	44.1	2	3		0	0	44	22	4	37	22	1.49	7.52	4.47	4.47	4.33	0.3	0.2	999.0
738	Andrew Kittredge	BAL	1	52	50.1	4	3		4	13	48	20	7	49	12	1.19	8.77	2.15	3.58	3.77	0.3	0.4	734.6
739	Nico Tellache	SEA	10	20	76.1	4	6		0	0	81	39	10	53	24	1.38	6.25	2.83	4.60	4.55	0.3	0.1	999.0
740	Amos Willingham	HOU	2	38	55.2	3	2		0	0	55	26	7	50	18	1.31	8.08	2.91	4.20	4.05	0.3	0.2	999.0
741	Blake Treinen	LAD	1	39	33.0	4	3		1	14	31	15	4	37	12	1.30	10.09	3.27	4.09	3.74	0.3	0.2	999.0
742	Bryce Jarvis	ARI	16	29	93.0	4	5		0	0	92	48	12	73	43	1.45	7.06	4.16	4.65	4.82	0.3	0.6	999.0
743	Mike Clevinger	PIT	20	25	94.1	4	7		0	1	99	52	15	72	37	1.44	6.87	3.53	4.96	5.01	0.3	0.2	999.0
744	Lyon Richardson	CIN	8	42	74.0	3	4		0	1	71	40	9	64	36	1.45	7.78	4.38	4.86	4.61	0.3	0.2	999.0
745	Alonzo Tredwell	HOU	14	22	79.1	3	4		0	0	76	42	11	72	38	1.44	8.17	4.31	4.77	4.82	0.3	0.3	999.0
746	Jake Bloss	TOR	18	18	69.2	4	5		0	1	72	37	11	54	30	1.46	6.97	3.87	4.78	4.97	0.3	0.3	999.0
747	Erick Leal		22	24	107.1	6	9		0	0	106	64	18	89	44	1.40	7.47	3.69	5.37	5.14	0.3	-0.4	999.0
748	Vince Velasquez	CHC	13	16	62.1	3	4		0	0	61	31	10	60	28	1.43	8.67	4.04	4.48	4.74	0.3	0.4	999.0
749	Adam Laskey	COL	13	27	70.1	4	5		0	0	81	39	10	47	27	1.54	6.02	3.46	4.99	4.97	0.3	0.6	999.0
750	Kyle Nicolas	PIT	5	51	74.0	3	4		0	1	68	34	8	72	37	1.42	8.76	4.50	4.14	4.30	0.3	0.5	999.0
751	Chase Chaney	NYY	19	24	107.1	5	7		0	0	119	62	17	60	31	1.40	5.03	2.60	5.20	5.11	0.3	-0.2	999.0
752	Zach Thompson		12	20	65.1	4	4		0	0	71	35	9	45	25	1.47	6.20	3.45	4.82	4.83	0.3	0.2	999.0
753	Alex Cornwell	STL	12	28	87.1	4	5		0	0	95	46	11	56	31	1.44	5.77	3.20	4.74	4.66	0.3	0.2	999.0
754	Tim Herrin	CLE	0	60	56.0	5	3		0	10	46	22	5	59	26	1.29	9.48	4.18	3.54	3.80	0.3	0.5	999.0
755	Yariel Rodríguez	TOR	8	52	74.0	3	3		0	1	64	35	10	71	35	1.34	8.64	4.26	4.26	4.59	0.3	0.3	999.0
756	Kai-Wei Teng	HOU	14	28	86.1	4	7		0	1	82	46	10	76	38	1.39	7.93	3.96	4.80	4.62	0.3	0.2	999.0
757	Derek Diamond	PIT	13	18	70.0	4	6		0	0	81	37	10	40	20	1.44	5.14	2.57	4.76	4.79	0.3	0.4	999.0
758	Bryan King	HOU	0	60	59.2	4	3		1	17	53	24	8	59	17	1.17	8.89	2.56	3.62	3.96	0.3	0.5	999.0
759	Brock Stewart	LAD	0	36	33.2	1	1		0	1	29	15	4	38	14	1.28	10.15	3.74	4.01	3.85	0.3	0.2	999.0
760	Jaden Hill	COL	3	42	48.2	3	4		0	6	46	24	6	50	18	1.31	9.24	3.33	4.44	4.22	0.3	0.4	999.0
761	Matt Gage	SFG	2	50	52.1	2	2		0	10	53	23	5	41	18	1.36	7.06	3.10	3.96	3.90	0.3	0.3	999.0
762	Antonio Senzatela	COL	19	23	104.0	5	9		0	1	131	64	16	60	37	1.62	5.19	3.20	5.54	5.19	0.3	0.4	999.0
763	River Ryan	LAD	15	16	60.1	2	3		0	1	60	33	9	50	27	1.44	7.46	4.03	4.93	4.96	0.3	0.2	999.0
764	Andrew Nardi	MIA	0	43	42.0	3	2		0	10	36	18	5	50	18	1.29	10.71	3.86	3.86	3.73	0.3	0.4	999.0
765	Walker Powell	CHC	12	16	60.2	3	4		0	0	65	31	9	37	15	1.32	5.49	2.22	4.60	4.68	0.3	0.3	999.0
766	Bryse Wilson	PHI	12	35	95.1	4	5		0	1	101	52	15	66	28	1.35	6.23	2.64	4.91	4.80	0.3	0.2	999.0
767	Bennett Sousa	HOU	0	42	45.2	3	2		0	4	39	18	6	51	17	1.23	10.04	3.35	3.54	3.79	0.3	0.5	999.0
768	Codi Heuer	CLE	0	43	47.1	3	2		0	0	44	20	6	49	17	1.29	9.32	3.23	3.81	3.98	0.3	0.2	999.0
769	Blane Abeyta		12	30	79.0	4	5		0	0	81	41	11	65	28	1.38	7.41	3.19	4.67	4.63	0.3	0.4	999.0
770	Dalton Rogers	BOS	16	21	87.0	4	6		0	0	87	47	12	76	50	1.57	7.86	5.17	4.86	4.97	0.3	0.4	999.0
771	Jason Adam	SDP	0	52	50.1	4	3		0	7	39	19	5	51	19	1.15	9.13	3.40	3.40	3.83	0.3	0.5	999.0
772	Carl Edwards Jr.	NYM	6	25	52.2	2	3		0	0	52	26	7	45	23	1.42	7.69	3.93	4.44	4.52	0.3	0.2	999.0
773	Erik Miller	SFG	3	54	50.1	4	3		4	15	43	21	4	52	28	1.41	9.30	5.01	3.76	3.89	0.3	0.4	999.0
774	Tyson Guerrero	KCR	17	18	81.0	4	5		0	0	81	45	12	67	35	1.43	7.44	3.89	5.00	4.96	0.3	0.2	999.0
775	Ricky Tiedemann	TOR	15	15	42.1	2	2		0	0	37	22	5	42	23	1.42	8.94	4.89	4.68	4.74	0.3	0.2	999.0
776	Wyatt Crowell	LAD	18	23	82.2	4	6		0	0	77	48	11	74	42	1.44	8.05	4.57	5.22	5.07	0.3	-0.1	999.0
777	Huascar Brazobán	NYM	2	50	61.1	3	3		0	11	56	29	6	58	29	1.39	8.52	4.26	4.26	4.13	0.3	0.1	999.0
778	Nick Mears	KCR	0	56	50.1	3	4		0	12	47	23	5	46	20	1.33	8.23	3.58	4.12	3.85	0.3	0.2	999.0
779	Brandon Williamson	CIN	17	17	79.0	3	5		0	1	81	47	12	60	39	1.52	6.84	4.44	5.35	5.22	0.3	0.1	999.0
780	Caleb Ferguson	CIN	1	61	55.2	3	4		0	10	52	28	6	52	21	1.31	8.40	3.39	4.52	4.12	0.3	0.1	999.0
781	TJ Shook	COL	7	28	65.2	4	6		0	0	70	37	9	52	26	1.46	7.12	3.56	5.07	4.79	0.3	0.4	999.0
782	Austin Bergner	TEX	15	24	80.2	5	7		0	0	84	44	12	64	37	1.50	7.14	4.13	4.91	4.89	0.3	0.1	999.0
783	José Buttó	SFG	1	58	68.2	4	3		2	13	59	29	6	62	28	1.27	8.12	3.67	3.80	3.86	0.3	0.5	999.0
784	Derek Law	ARI	1	52	58.2	4	4		0	1	59	27	6	47	21	1.36	7.21	3.22	4.14	4.04	0.3	0.3	999.0
785	Luis Palacios	MIA	15	27	95.2	5	8		0	0	107	51	14	55	28	1.41	5.17	2.63	4.80	4.89	0.3	0.5	999.0
786	Yerry De los Santos	NYY	0	44	53.1	2	2		0	1	50	24	5	43	20	1.31	7.26	3.38	4.05	3.98	0.3	0.1	999.0
787	Casey Lawrence	SEA	18	22	103.0	5	8		0	0	122	57	17	53	22	1.40	4.63	1.92	4.98	5.01	0.3	-0.3	999.0
788	Blake Walston	ARI	16	18	84.1	4	5		0	0	87	43	10	60	38	1.48	6.41	4.06	4.59	4.78	0.3	0.7	999.0
789	Jose Franco	CIN	21	26	87.0	4	7		0	0	89	53	15	76	42	1.51	7.86	4.34	5.48	5.22	0.3	0.0	999.0
790	Riley Cornelio	WSN	23	23	105.2	5	8		0	0	114	61	16	78	48	1.53	6.64	4.09	5.19	5.07	0.3	0.1	999.0
791	Rorik Maltrud	CLE	17	19	67.2	4	4		0	0	69	35	10	55	30	1.46	7.31	3.99	4.65	4.85	0.3	0.3	999.0
792	Shelby Miller	CHC	1	44	45.2	4	3		0	0	36	19	6	49	16	1.14	9.65	3.15	3.74	3.94	0.3	0.4	999.0
793	Joey Gerber	NYM	8	32	42.2	1	1		0	1	41	21	6	40	14	1.29	8.43	2.95	4.43	4.21	0.3	0.1	999.0
794	Albert Suárez	BAL	16	23	90.2	4	6		0	1	100	49	15	73	33	1.47	7.24	3.27	4.86	4.83	0.3	0.1	999.0
795	Justin Slaten	BOS	1	37	42.2	4	3		0	13	39	19	5	40	16	1.29	8.43	3.37	4.00	3.98	0.3	0.2	999.0
796	Peter Solomon		11	18	67.0	4	4		0	0	67	36	9	55	31	1.46	7.39	4.16	4.84	4.72	0.3	0.2	999.0
797	Eiberson Castellano	COL	9	20	58.1	3	5		0	0	62	33	8	49	25	1.49	7.56	3.86	5.09	4.94	0.3	0.4	999.0
798	Joe Mantiply		2	41	40.0	3	2		0	0	42	19	5	33	10	1.30	7.43	2.25	4.28	3.94	0.3	0.0	999.0
799	Tyler Gilbert	CHW	5	39	57.0	2	4		0	1	57	31	8	50	23	1.40	7.89	3.63	4.89	4.52	0.3	-0.2	999.0
800	Julian Fernández	WSN	3	47	53.2	3	3		2	12	51	25	7	52	19	1.30	8.72	3.18	4.19	4.07	0.3	0.3	999.0
801	Bryan Mata		5	32	62.0	3	3		0	0	58	31	7	60	31	1.44	8.71	4.50	4.50	4.46	0.3	0.2	999.0
802	Beau Brieske	DET	8	37	58.0	3	4		0	4	56	31	8	48	26	1.41	7.45	4.03	4.81	4.67	0.3	-0.1	999.0
803	Carson Fulmer		6	30	69.0	2	3		0	0	70	38	10	57	29	1.43	7.43	3.78	4.96	4.76	0.3	-0.1	999.0
804	Kirby Yates	LAA	0	48	43.1	3	4		5	12	34	19	5	52	21	1.27	10.81	4.36	3.95	3.90	0.3	0.2	306.3
805	Brendon Little	TOR	0	66	62.1	4	3		0	10	52	26	6	69	35	1.40	9.97	5.06	3.76	4.00	0.3	0.4	999.0
806	Steven Cruz	KCR	1	52	52.1	2	3		0	1	46	24	5	48	23	1.32	8.26	3.96	4.13	4.03	0.3	0.2	999.0
807	Prelander Berroa	CHW	7	34	54.0	2	4		0	1	50	28	7	57	32	1.52	9.50	5.33	4.67	4.60	0.3	0.1	999.0
808	Pierce Johnson	CIN	0	55	49.0	3	3		1	12	47	24	7	54	20	1.37	9.92	3.67	4.41	4.07	0.3	0.1	999.0
809	Jonathan Heasley	KCR	12	24	76.1	3	4		0	0	80	42	11	52	27	1.40	6.13	3.18	4.95	4.83	0.3	0.2	999.0
810	Jose Acuna	CIN	19	20	72.0	4	8		0	0	74	45	12	56	31	1.46	7.00	3.88	5.63	5.20	0.3	-0.1	999.0
811	Casey Legumina	SEA	3	46	58.1	5	5		0	7	54	27	7	57	23	1.32	8.80	3.55	4.17	4.08	0.3	0.1	999.0
812	Nick Zwack	SFG	17	19	65.2	3	3		0	0	71	35	9	46	23	1.43	6.30	3.15	4.79	4.70	0.3	0.2	999.0
813	Dallas Keuchel		12	12	55.0	3	3		0	0	65	31	7	34	23	1.60	5.56	3.76	5.07	4.86	0.3	0.1	999.0
814	Connor Schultz	CHC	11	22	70.2	3	3		0	0	74	37	11	52	21	1.34	6.62	2.67	4.71	4.71	0.3	0.3	999.0
815	Welinton Herrera	COL	0	52	62.0	5	6		0	0	59	30	8	63	25	1.35	9.15	3.63	4.35	4.23	0.3	0.5	999.0
816	Bryan Hudson	NYM	1	44	51.2	2	3		0	7	47	25	6	48	23	1.35	8.36	4.00	4.35	4.24	0.3	0.0	999.0
817	Antonio Santos		14	20	69.2	5	5		0	0	67	37	9	58	33	1.43	7.49	4.26	4.78	4.79	0.3	0.3	999.0
818	Luis García	NYM	1	51	48.1	2	2		0	13	48	22	4	43	20	1.41	8.01	3.73	4.10	3.86	0.3	0.1	999.0
819	Robert Stephenson	LAA	0	31	29.2	1	2		15	8	27	14	4	33	9	1.21	10.00	2.73	4.24	3.67	0.3	0.0	383.5
