i#	Name	Team	GS	G	IP	W	L	QS	SV	HLD	H	ER	HR	SO	BB	WHIP	K/9	BB/9	ERA	FIP	WAR	RA9-WAR	ADP
499	John Klein	MIN	15	26	94.1	6	8		0	0	95	49	13	79	34	1.37	7.54	3.24	4.68	4.65	0.6	0.4	999.0
500	David Sandlin	CHW	13	27	87.2	6	6		0	0	93	45	13	69	30	1.40	7.08	3.08	4.62	4.58	0.6	0.5	999.0
501	Ryan Gallagher	MIN	21	21	104.0	5	8		0	0	111	59	18	83	33	1.38	7.18	2.86	5.11	4.83	0.6	0.1	999.0
502	Jhony Brito	SDP	11	22	70.2	5	5		0	1	71	34	9	54	24	1.34	6.87	3.06	4.33	4.37	0.6	0.5	999.0
503	Ben Lively	CLE	16	17	84.2	5	6		0	0	87	43	13	62	29	1.37	6.59	3.08	4.57	4.80	0.6	0.5	999.0
504	Nick Margevicius	SFG	12	17	64.2	3	4		0	0	71	31	8	43	15	1.33	5.98	2.09	4.31	4.25	0.6	0.5	999.0
505	Sean Hjelle		5	43	84.2	4	5		0	0	88	40	9	68	24	1.32	7.23	2.55	4.25	4.04	0.6	0.4	999.0
506	Garrett Cleavinger	TBR	0	61	57.1	5	3		8	13	43	21	7	72	20	1.10	11.31	3.14	3.30	3.57	0.6	0.7	718.6
507	Evan Phillips	LAD	0	57	53.2	4	2		0	1	44	20	6	57	16	1.12	9.55	2.68	3.35	3.47	0.6	0.6	999.0
508	Brandon Eisert	CHW	3	62	64.2	4	5		0	6	62	30	8	65	23	1.31	9.04	3.20	4.17	3.94	0.6	0.3	999.0
509	Jake Bennett	BOS	18	18	67.1	3	4		0	0	72	35	9	46	22	1.40	6.15	2.94	4.68	4.58	0.6	0.5	999.0
510	Steven Zobac	KCR	17	18	73.2	4	5		0	0	78	40	11	55	21	1.34	6.72	2.56	4.88	4.60	0.6	0.4	999.0
511	Patrick Monteverde	MIA	17	23	92.0	5	6		0	0	98	46	13	69	31	1.40	6.75	3.03	4.50	4.58	0.6	0.8	999.0
512	Will Watson	NYM	21	26	103.0	5	6		0	0	100	57	14	90	49	1.45	7.86	4.28	4.98	4.73	0.6	0.0	999.0
513	Randy Dobnak	SEA	17	25	99.2	5	6		0	1	101	47	11	72	37	1.38	6.50	3.34	4.24	4.42	0.6	0.6	999.0
514	Tanner Banks	PHI	2	56	62.0	3	3		0	12	59	27	8	57	16	1.21	8.27	2.32	3.92	3.84	0.6	0.5	999.0
515	McCade Brown	COL	23	23	84.2	3	6		0	0	86	49	14	80	36	1.44	8.50	3.83	5.21	4.92	0.6	0.7	999.0
516	Emilio Pagán	CIN	0	58	57.0	3	3		27	4	46	25	8	60	19	1.14	9.47	3.00	3.95	3.91	0.6	0.4	107.5
517	Miles Mikolas	WSN	25	25	129.2	6	10		0	0	144	70	22	83	30	1.34	5.76	2.08	4.86	4.85	0.6	0.4	999.0
518	Jake Irvin	WSN	28	28	156.1	7	11		0	1	161	87	26	114	52	1.36	6.56	2.99	5.01	4.97	0.6	0.5	999.0
519	Griff McGarry	WSN	17	20	67.1	3	3		0	0	58	35	8	77	43	1.50	10.30	5.75	4.68	4.53	0.6	0.4	999.0
520	Ian Anderson		13	17	67.0	4	6		0	0	69	34	8	51	31	1.49	6.85	4.16	4.57	4.60	0.6	0.5	999.0
521	Daniel Palencia	CHC	3	49	57.2	5	3		30	4	46	24	6	64	24	1.21	9.98	3.74	3.74	3.72	0.6	0.5	127.5
522	Ben Casparius	LAD	9	37	80.2	6	6		0	13	78	43	12	77	32	1.36	8.59	3.57	4.80	4.50	0.6	0.1	999.0
