,Name,W,W,SO,SO,WHIP,WHIP,ERA,ERA,W_sharpe,W,W,SO_sharpe,SO,SO,WHIP_sharpe,WHIP,WHIP,ERA_sharpe,ERA,ERA,Total_sharpe
,,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,
1,MacKenzie Gore,10.0,0.0,179.125,1.8850918886280925,1.245,0.017728105208558387,3.9025,0.0810202796482815,10.0,10.0,10.0,44.09599367619985,173.4697243341157,184.7802756658843,1.974266261862175,1.2981843156256754,1.1918156843743248,3.054790739731175,4.145560838944844,3.6594391610551553,59.125050677793205
7,Dylan Cease,11.625,0.5175491695067659,200.375,4.955156044825575,1.19875,0.026423744732991333,3.585,0.11032419757890183,9.322785706715235,10.072352491479702,13.177647508520298,21.063917877822167,185.5095318655233,215.2404681344767,3.0748858960386283,1.278021234198974,1.119478765801026,5.121269969771798,3.9159725927367055,3.2540274072632944,38.582859450347826
13,George Kirby,11.75,0.7071067811865476,163.625,8.879148929615141,1.1087500000000001,0.01356202681860539,3.5575,0.15322718893385556,7.000357133746844,9.628679656440358,13.871320343559642,7.616157870091176,136.9875532111546,190.2624467888454,12.627168659264596,1.1494360804558164,1.068063919544184,3.8668072169343786,4.0171815668015665,3.0978184331984333,31.110490880036995
14,Joe Ryan,10.75,0.46291004988627577,181.625,6.843923269169941,1.11,0.02329929490042868,3.8137499999999998,0.14242165766283071,8.53297525290372,9.361269850341174,12.138730149658826,12.51109877074717,161.09323019249018,202.15676980750982,7.296358139871097,1.1798978847012862,1.040102115298714,2.3609471025540194,4.241014972988492,3.3864850270115077,30.701379266076003
15,Hunter Brown,12.5,0.7559289460184546,193.625,6.323143431644018,1.18125,0.030908852176312597,3.39625,0.26837806489034394,7.540391236534104,10.232213161944635,14.767786838055365,15.439314488967314,174.65556970506793,212.59443029493207,3.1948776174767977,1.2739765565289378,1.088523443471062,2.808538023805982,4.201384194671032,2.5911158053289682,28.9831213667842
17,Logan Gilbert,10.75,1.2817398889233114,185.25,11.042127124271458,1.0675000000000001,0.022519832529192065,3.39125,0.14951707976969442,3.081748515541715,6.904780333230066,14.595219666769934,8.082681805376206,152.12361862718564,218.37638137281436,9.43612701047132,1.1350594975875763,0.9999405024124239,5.074671075496696,3.8398012393090832,2.9426987606909165,25.675228406885935
19,Zack Wheeler,10.375,1.0606601717798214,161.125,16.83904900606241,1.09625,0.02503568881188838,3.29375,0.10013383900702952,3.3705423236558922,7.193019484660535,13.556980515339465,3.8674986916751437,110.60785298181277,211.64214701818725,7.339522446562167,1.1713570664356652,1.0211429335643347,8.55105535242577,3.5941515170210887,2.9933484829789117,23.128618814318973
20,Nolan McLean,10.25,0.4629100498862759,144.125,4.086126352846732,1.27625,0.025035688811888335,3.81125,0.10776131031126147,7.452851803169073,8.861269850341172,11.638730149658828,11.777658311146487,131.86662094145981,156.38337905854019,0.14978617237881675,1.351357066435665,1.201142933564335,3.1435215386815862,4.1345339309337845,3.4879660690662155,22.523817825375964
21,Nick Pivetta,10.125,0.640869944461656,180.125,9.463274878633264,1.1637499999999998,0.019226098333849657,3.93375,0.1044629120788809,5.188260159076559,8.202390166615032,12.047609833384968,8.889628704534658,151.7351753641002,208.5148246358998,6.046468606442593,1.221428295001549,1.1060717049984508,2.0701126906811496,4.247138736236643,3.6203612637633573,22.19447016073496
23,Framber Valdez,12.875,0.8345229603962803,171.875,10.28782220464009,1.2349999999999999,0.027255405754769865,3.50625,0.14262212811682282,7.279607977610649,10.37143111881116,15.37856888118884,7.3752246579240355,141.01153338607972,202.73846661392028,1.6510486178370276,1.3167662172643095,1.1532337827356902,4.513675461865917,3.9341163843504683,3.078383615649532,20.81955671523763
24,Sonny Gray,11.25,0.7071067811865477,177.25,10.713809513227043,1.2075,0.026049403612586414,3.77,0.09899494936611668,6.293250352560296,9.128679656440358,13.371320343559642,7.583670392841171,145.10857146031887,209.39142853968113,2.7831731228184373,1.2856482108377594,1.1293517891622407,3.838579669298403,4.06698484809835,3.47301515190165,20.498673537518307
